source,target,weight,connection_type
ADAL,ADFL,2.0,mixed
ADAL,AIBL,1.0,chemical
ADAL,AIBR,2.0,chemical
ADAL,ASHL,2.0,mixed
ADAL,AVAR,2.0,chemical
ADAL,AVBL,4.0,chemical
ADAL,AVBR,7.0,chemical
ADAL,AVDL,1.0,chemical
ADAL,AVDR,2.0,electrical
ADAL,AVEL,1.0,chemical
ADAL,AVJR,5.0,chemical
ADAL,FLPR,1.0,chemical
ADAL,RICL,2.0,chemical
ADAL,RICR,1.0,chemical
ADAL,RIML,3.0,chemical
ADAL,RIPL,1.0,chemical
ADAL,SMDVR,2.0,chemical
ADAL,ADAR,1.0,electrical
ADAL,ADEL,1.0,chemical
ADAL,RMGL,1.0,chemical
ADAL,PVR,1.0,chemical
ADAL,AIAL,1.0,chemical
ADAL,AWAL,1.0,chemical
ADAL,PVQL,1.0,electrical
ADAL,PVPL,1.0,chemical
ADFL,AIZL,12.0,chemical
ADFL,AUAL,5.0,chemical
ADFL,OLQVL,1.0,chemical
ADFL,RIAL,15.0,chemical
ADFL,RIGL,1.0,chemical
ADFL,RIR,2.0,chemical
ADFL,SMBVL,2.0,chemical
ADFL,ASHL,3.0,chemical
ADFL,AWBL,9.0,chemical
AIBL,AIYL,1.0,chemical
AIBL,ASER,3.0,chemical
AIBL,AVAL,2.0,chemical
AIBL,AVBL,5.0,chemical
AIBL,FLPL,3.0,chemical
AIBL,RIBR,6.0,chemical
AIBL,RIFL,1.0,chemical
AIBL,RIGR,4.0,mixed
AIBL,RIML,2.0,chemical
AIBL,RIMR,14.0,mixed
AIBL,SAADL,3.0,chemical
AIBL,SAADR,2.0,chemical
AIBL,SMDDR,4.0,chemical
AIBL,ASHL,5.0,chemical
AIBL,ADAR,1.0,chemical
AIBL,RIVL,1.0,electrical
AIBL,AIZL,4.0,chemical
AIBL,AIZR,8.0,chemical
AIBL,ADLL,7.0,chemical
AIBL,AIAL,10.0,chemical
AIBL,AFDL,1.0,electrical
AIBL,AINR,2.0,chemical
AIBL,ASGL,3.0,chemical
AIBL,ASIL,1.0,chemical
AIBL,ASKL,2.0,chemical
AIBL,AWCL,2.0,chemical
AIBL,HSNR,1.0,chemical
AIBL,ASEL,7.0,chemical
AIBL,BAGL,1.0,chemical
AIBL,SAAVL,1.0,chemical
AIBL,SDQR,2.0,chemical
AIBL,DVC,1.0,electrical
AIBL,PVT,1.0,electrical
AIBR,AVAR,1.0,chemical
AIBR,AVBR,3.0,chemical
AIBR,AVEL,1.0,chemical
AIBR,RIAL,1.0,chemical
AIBR,RIBL,6.0,chemical
AIBR,RIML,17.0,mixed
AIBR,RIMR,1.0,chemical
AIBR,SAADL,1.0,chemical
AIBR,SMDDL,3.0,chemical
AIBR,SMDVL,1.0,chemical
AIBR,VB1,4.0,chemical
AIBR,FLPR,1.0,chemical
AIBR,ADAR,1.0,chemical
AIBR,ASHR,3.0,chemical
AIBR,RIVR,1.0,electrical
AIBR,FLPL,2.0,chemical
AIBR,RIGL,3.0,electrical
AIBR,RMGL,1.0,chemical
AIBR,AIZL,8.0,chemical
AIBR,AIZR,1.0,chemical
AIBR,ADLL,1.0,chemical
AIBR,ADLR,10.0,chemical
AIBR,ASER,10.0,chemical
AIBR,AWBL,1.0,chemical
AIBR,AIAR,14.0,chemical
AIBR,AWCR,4.0,chemical
AIBR,AFDR,1.0,electrical
AIBR,ASGR,2.0,chemical
AIBR,ASIR,1.0,chemical
AIBR,AWCL,1.0,chemical
AIBR,SAADR,1.0,chemical
AIBR,HSNR,1.0,chemical
AIBR,ASEL,4.0,chemical
AIBR,SDQL,1.0,chemical
AIBR,DB1,1.0,electrical
AIBR,DVC,2.0,electrical
AIBR,PVT,1.0,electrical
AIBR,RIS,1.0,electrical
ASHL,AIAL,8.0,chemical
ASHL,ASHR,1.0,electrical
ASHL,ASKL,1.0,chemical
ASHL,AVAL,2.0,chemical
ASHL,AVBL,6.0,chemical
ASHL,AVDL,2.0,chemical
ASHL,AVDR,4.0,chemical
ASHL,RIAL,4.0,chemical
ASHL,RIML,1.0,chemical
ASHL,RIPL,1.0,chemical
ASHL,RICL,2.0,electrical
ASHL,RMGL,1.0,electrical
ASHL,AIZL,1.0,electrical
ASHL,ADLL,2.0,chemical
ASHL,HSNL,1.0,chemical
ASHL,HSNR,2.0,chemical
ASHL,URXL,1.0,chemical
AVAR,ADER,2.0,chemical
AVAR,AS1,2.0,electrical
AVAR,AS10,1.0,electrical
AVAR,AS11,6.0,chemical
AVAR,AS2,2.0,chemical
AVAR,AS3,1.0,electrical
AVAR,AS4,1.0,chemical
AVAR,AS5,1.0,electrical
AVAR,AS6,1.0,electrical
AVAR,AS7,5.0,electrical
AVAR,AS8,3.0,electrical
AVAR,AS9,2.0,mixed
AVAR,AVAL,7.0,mixed
AVAR,AVBL,8.0,chemical
AVAR,AVDL,20.0,chemical
AVAR,AVDR,17.0,chemical
AVAR,AVEL,9.0,chemical
AVAR,AVER,18.0,chemical
AVAR,DA1,6.0,electrical
AVAR,DA2,2.0,electrical
AVAR,DA3,2.0,electrical
AVAR,DA4,2.0,electrical
AVAR,DA5,5.0,electrical
AVAR,DA6,2.0,electrical
AVAR,DA7,3.0,chemical
AVAR,DA8,1.0,electrical
AVAR,DA9,2.0,chemical
AVAR,DB3,1.0,chemical
AVAR,DB5,3.0,mixed
AVAR,DB6,5.0,chemical
AVAR,LUAL,7.0,chemical
