fraction_removed,lcc_mean,lcc_std,mode,network
0.0,1.0,0.0,random,real
0.05,0.9467637540453072,0.013975000383848806,random,real
0.1,0.894822006472492,0.012720546282869602,random,real
0.2,0.7943365695792882,0.0036146129293994664,random,real
0.3,0.6788025889967637,0.022017772655548728,random,real
0.4,0.5745954692556634,0.020859983896535438,random,real
0.5,0.47297734627831717,0.01755570218097355,random,real
0.0,1.0,0.0,random,erdos_renyi
0.05,0.9514563106796114,2.220446049250313e-16,random,erdos_renyi
0.1,0.8996763754045307,0.0,random,erdos_renyi
0.2,0.7993527508090617,1.1102230246251565e-16,random,erdos_renyi
0.3,0.6990291262135921,1.1102230246251565e-16,random,erdos_renyi
0.4,0.5987055016181231,1.1102230246251565e-16,random,erdos_renyi
0.5,0.5016181229773463,0.0,random,erdos_renyi
0.0,1.0,0.0,random,regular_lattice
0.05,0.9514563106796114,2.220446049250313e-16,random,regular_lattice
0.1,0.8996763754045307,0.0,random,regular_lattice
0.2,0.7993527508090617,1.1102230246251565e-16,random,regular_lattice
0.3,0.6990291262135921,1.1102230246251565e-16,random,regular_lattice
0.4,0.5987055016181231,1.1102230246251565e-16,random,regular_lattice
0.5,0.48948220064724923,0.04201982175527891,random,regular_lattice
0.0,1.0,0.0,random,watts_strogatz
0.05,0.9514563106796114,2.220446049250313e-16,random,watts_strogatz
0.1,0.8996763754045307,0.0,random,watts_strogatz
0.2,0.7993527508090617,1.1102230246251565e-16,random,watts_strogatz
0.3,0.6990291262135921,1.1102230246251565e-16,random,watts_strogatz
0.4,0.5987055016181231,1.1102230246251565e-16,random,watts_strogatz
0.5,0.5016181229773463,0.0,random,watts_strogatz
0.0,1.0,0.0,random,barabasi_albert
0.05,0.9514563106796114,2.220446049250313e-16,random,barabasi_albert
0.1,0.8996763754045307,0.0,random,barabasi_albert
0.2,0.7993527508090617,1.1102230246251565e-16,random,barabasi_albert
0.3,0.6990291262135921,1.1102230246251565e-16,random,barabasi_albert
0.4,0.5987055016181231,1.1102230246251565e-16,random,barabasi_albert
0.5,0.5006472491909385,0.0018018654895890134,random,barabasi_albert
